id,account,username,email,first_name,last_name,is_active,is_staff,verified,requested_verified,picture,banner,location,url,birthday,profile_info,date_created,pais,edad,salario,experiencia,comprado
10,0x8286fe3ff6107b0afa7aa5162b7ecbcfb34aa165,maxitunn@hotmail.com,maxitunn17@gmail.com,Sofia Victoria,Ledesma,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2024-06-24 18:11:49,España,25,60000,8.00,1
9,0xb7eb96ab7a819ffc4434209d9ec317b0f99a2a0b,maxitunn17@gmail.com,sofialedesma360@gmail.com,Sofia Victoria,Ledesma,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2024-06-24 18:11:28,España,29,50000,4.00,0
8,0x1d1e4378b8c5aa1f51cb5d850df86119436cb1cf,maxitunn17@gmail.com,maxitunn17@gmail.com,Sofia Victoria,Ledesma,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2024-06-24 18:11:08,Argentina,40,80000,9.00,1
7,0x48194b46f8e179074cb67760c4c1c0ad59b33dbf,Juliprocupez@gmail.com,maxitunn17@gmail.com,Sofia Victoria,Ledesma,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2024-06-24 18:10:47,Brasil,30,17000,,1
6,0xde84c75f1c72eaf289e93f83b968972d5d72a744,maxitunn@hotmail.com,sofialedesma360@gmail.com,Sofia Victoria,Ledesma,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2024-06-24 18:10:22,Armenia,58,,6.00,1
5,0xad66a671409507293707341f14fe64e6b2c3d914,maxitunn17@gmail.com,sofialedesma360@gmail.com,Sofia Victoria,Ledesma,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2024-06-24 18:09:05,España,28,,8.00,0
4,0xa73c9ebc6f8fe66a44b23e61c989389aac24a77d,maxitunn@hotmail.com,maxitunn17@gmail.com,Sofia Victoria,Ledesma,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2024-06-24 18:08:43,Argentina,29,63000,,1
3,0x31afb2e3a05fd706fca70b4bd19a510f2f540273,maxitunn@hotmail.com,maxitunn17@gmail.com,Sofia Victoria,Ledesma,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2024-06-24 18:08:02,Colombia,18,,2.00,0
2,0x4c8bf065761cdf7fcdbfd42b96fc01d1bc887cfe,maxitunn17@gmail.com,sofialedesma360@gmail.com,Sofia Victoria,Ledesma,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2024-06-24 18:02:33,España,46,25000,9.00,1
1,0x6da8a3665ed28340f1895aa1cc86bda7dd2e739a,0x6da8a3665ed28340f1895aa1cc86bda7dd2e739a,maxitunn17@gmail.com,Sofia Victoria,Ledesma,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2024-06-23 10:01:37,España,28,69000,9.00,0
